category,Job,knowledge,assessment,information,Experience,vulnerability,ÊÊ,Business,skill,client,«,design,experience,Software,web,’,test,digital,Security,other,implementation,infrastructure,product,Cybersecurity,asset,tool,OT,threat,stakeholder,environment,Development,security,Data,Java,service,Team,understanding,/,market,application,development,candidate,cybersecurity,Good,analysis,communication,Management,business,customer,platform,problem,risk,Technology,cloud,work,company,project,analytics,network,Singapore,Work,Information,Cyber,Strong,role,management,user,UI,data,Ability,IT,Ê,software,year,code,system,such,incident,Requirements,Analyst,report,cyber,requirement,UI/UX,Design,Computer,technical,ability,process,compliance,solution,UX,quality,analytical,control,audit,new,team,opportunity,technology
software+engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40763346300926584,0.0,0.1432756328980596,0.3239395974728322,0.0,0.0,0.0,0.0,0.0,0.0,0.34585074250861964,0.0,0.0,0.0,0.0,0.0,0.18968217231981738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32342875010132094,0.27504261431680443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12460609696782833,0.1898398925932734,0.3137331158999848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345452933903638,0.26234863171632206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178083855496198,0.0,0.143128785798873
software+engineer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05799626924342512,0.08784332072270724,0.0,0.06175060938079576,0.5119226918561106,0.0,0.0,0.0,0.0,0.0,0.0,0.07452940068288882,0.27798644298385566,0.10058093316686482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07306765370229341,0.0,0.08596267616688524,0.0,0.0,0.15510629821925473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06946866590139426,0.0,0.1256827263993981,0.17695214544651194,0.262942563968556,0.08161581925750158,0.0,0.0,0.0,0.10740838849828083,0.08181941908265833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08257449540690022,0.0,0.0,0.0,0.5851815639539718,0.0,0.0,0.0,0.0,0.056535042110849566,0.0,0.2003020013134241,0.0,0.0,0.0,0.0,0.10626032362923303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07109766475799907,0.15232331103432056,0.0,0.12337463899813617
software+engineer,0.0,0.08077073925859429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184258468095471,0.0,0.4994939726842051,0.06274071296413981,0.0,0.0,0.0,0.0,0.0,0.0,0.10047670460843129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1104424735281453,0.0,0.0,0.0,0.0,0.10810105423397377,0.0,0.0,0.0,0.09365408227304753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36200616215632375,0.11030473245559252,0.09114587808461873,0.0,0.5640185525925244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10036113308354888,0.0,0.0,0.2700368557111875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20360648123265238,0.0,0.0,0.0,0.0,0.0,0.29068400007356726,0.0,0.0,0.0684514844143804,0.0,0.0
ui+ux,0.0,0.0,0.12028637442505917,0.07328503719690725,0.0,0.13308459574968504,0.0,0.0,0.11243876659727053,0.0,0.0,0.0,0.22556292615628065,0.0,0.0,0.0,0.09233061157313185,0.0,0.0,0.07224597372673078,0.1796463415527408,0.09749934104396614,0.22183362630902886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833027007931756,0.0,0.0,0.0,0.0,0.07941168126407683,0.0,0.0,0.06756216514905139,0.0,0.07772812568301747,0.0,0.0,0.0,0.06734028941004808,0.0,0.0,0.25729604559437513,0.08496218223525367,0.0,0.0,0.0,0.0,0.10411761724066652,0.0,0.32768405069928075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1600891667181921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10960585029681577,0.0,0.0,0.0,0.11691782791718183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4018389462810227,0.0,0.07319979566931363,0.0,0.06861384916630099,0.0,0.0,0.0,0.0,0.0,0.06891937910507852,0.09843762619065971,0.0,0.05979734739535243
ui+ux,0.0,0.04199460237275743,0.0,0.0,0.0,0.0,0.0,0.0,0.04065156100010778,0.12314475249512696,0.0,0.0,0.09786110605266038,0.0,0.0,0.0,0.0,0.7364115771050855,0.0,0.10448039219368933,0.0,0.0,0.05346841049390351,0.0,0.08844593114831606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05742163317373317,0.0,0.15403351586063377,0.0,0.0,0.0,0.0,0.0,0.0,0.09738590934646323,0.0,0.0,0.0,0.061435133777473,0.05720730830451181,0.0,0.0,0.0,0.18821549704492996,0.2294000734338019,0.23694440234259184,0.0683468466412453,0.073311619605057,0.0,0.0,0.0,0.0,0.0,0.11575855415793916,0.1451240339534138,0.0,0.0,0.13672456495070268,0.0,0.0,0.0,0.0,0.0396273371200236,0.0,0.0,0.05303269351155882,0.0,0.0,0.0,0.22344444311276113,0.0,0.0,0.0,0.0,0.0,0.0,0.05094573213072146,0.10585978658071704,0.0,0.0,0.0,0.06335868017741447,0.0,0.0,0.0,0.09966955094107781,0.14235813098620564,0.22978217389547811,0.043238743875474266
ui+ux,0.0,0.11459276882451296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16801561816644683,0.0,0.23621754555522548,0.17802565836537873,0.0,0.3493283493797564,0.0,0.0,0.10047415244684105,0.0,0.0,0.0,0.0,0.14590192207931918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1483338765111189,0.0,0.0,0.0,0.0,0.19996302921224898,0.2267304284854705,0.23005111562480487,0.0,0.0,0.0,0.0,0.0,0.1802925435460628,0.0,0.0,0.0,0.0,0.0,0.28690264409147254,0.35951511876289227,0.0,0.0646562024350087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13200239978533188,0.0,0.0,0.2487247658632725,0.0,0.0,0.0,0.2847729320785085,0.1081330939014136,0.0,0.0,0.28942591877729795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07221622164546204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06799332035849444,0.097114935448077,0.15675452347109342,0.05899385993947208
cyber+security,0.0,0.047961164966319886,0.09933535188980104,0.0,0.0,0.0,0.0,0.0,0.04642730525124305,0.0,0.0,0.04943273814974731,0.07451009393249927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10244923021376134,0.06963626147182995,0.0,0.0,0.688150368752588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047447389547454116,0.0,0.3083311654947626,0.0,0.07076333215700142,0.0,0.0,0.0,0.0,0.0,0.0,0.0779785397833553,0.0,0.0,0.04299140362307972,0.06549826729864355,0.0541218581746649,0.0,0.2511830437599657,0.0,0.0,0.0,0.0,0.0,0.1983081681409089,0.05524771708544427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04525756038643565,0.0,0.05344873775921074,0.12113508014859405,0.0965535259821158,0.0,0.0,0.0,0.44032750453808117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09993552363138761,0.0,0.0,0.07236063542319826,0.0,0.0,0.0,0.11383052832297066,0.12193820310385169,0.0,0.0
cyber+security,0.0,0.12790954563894882,0.0,0.0,0.0,0.0,0.0,0.0,0.12381883392735589,0.12502709435257228,0.0,0.0,0.1324759628213658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06594285702797169,0.0,0.0,0.0,0.0,0.0,0.0,0.18215062814403502,0.06190524195364961,0.0,0.0,0.7341022767919022,0.0,0.0,0.055190564355350226,0.0,0.05829935748967644,0.0,0.0,0.0,0.0,0.11412678120055454,0.09136674388876871,0.0,0.0,0.09887451174140066,0.0,0.0,0.06296384404247653,0.0,0.0,0.0,0.0,0.0,0.03821849690035952,0.0,0.04811324810478363,0.0,0.22329669585873896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04023306488226072,0.0,0.0,0.10768666047224534,0.17166830214797862,0.0,0.0,0.0,0.15657693351791213,0.05153027719621365,0.0,0.0,0.0,0.04916772950276648,0.3103468103468221,0.0,0.08884067925829654,0.2014889123420914,0.0,0.0,0.0,0.0,0.0,0.0,0.10840062069660153,0.0,0.1755986966775398
data+analyst,0.0,0.17163609729472046,0.0,0.0,0.0,0.0,0.0,0.0,0.08307347712289607,0.0,0.0,0.0,0.19998401426369417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11710023273075225,0.0,0.0,0.12460181229556046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19966864279065452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36005423219415994,0.0,0.0,0.0,0.0,0.0,0.0,0.15385107389007815,0.0,0.19368304589684415,0.5586806568986145,0.0,0.0,0.0,0.0,0.0,0.0,0.1182791676879713,0.39542419587378536,0.0,0.0,0.1862689441542807,0.0,0.0,0.0,0.0,0.0,0.0,0.09563709264320447,0.10837493426602633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09896396507245085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29091588728190393,0.0,0.17672102678430726
cyber+security,0.0,0.09165078313803728,0.0,0.0,0.0,0.0,0.0,0.0,0.05914644884395149,0.0,0.0,0.03148762244942266,0.09492274934519476,0.0,0.0,0.0,0.0,0.10714503601282149,0.0,0.0,0.04724990976070595,0.10257565005192634,0.0388972345494516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2630024531605668,0.0,0.0,0.11863676990791779,0.0,0.0,0.0,0.0,0.03553989665404223,0.0,0.0,0.8510689069257987,0.0,0.0,0.0,0.0,0.06408763050213862,0.13534608977886228,0.0,0.0832344207919592,0.0,0.0,0.0,0.08215388039522521,0.04172102920019205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02882812135781553,0.0,0.06809146075873734,0.038580258871609575,0.0,0.0,0.0,0.0,0.16828765796857748,0.0,0.0,0.0,0.0,0.035230059582633366,0.03706203482911005,0.0,0.12731368543081906,0.18046558329108084,0.0,0.04609221446531651,0.0,0.054973324285884015,0.06551936250728153,0.0,0.025890696767689417,0.0,0.0943660497822216
